AgentID;ActivityID;TimeIn;TimeOut;xLoc;yLoc;zLoc;TotalDelayTime;TotalDistance;
49534;59;966;1106.4;9.0139;24.628;6;21.1894;128.4553;
49534;52;1136.2;1170;8.4736;29.7071;6.25;44.8528;135.6668;
59175;1;2772;2772;-7.9508;1.5658;0;0;0;
59175;59;2904.3999;3238.8;-0.9984;81.0714;6;25.4593;133.0013;
59175;58;3246;3270;1.0748;82.1267;6.25;27.8602;136.6188;
53266;58;1740;1783.2;8.8102;82.1;6;0;0;
53266;59;1995;2065.2;-4.9558;44.1315;6;16.818;206.9758;
53266;54;2082;2130;1.4402;47.1999;6.25;24.7483;216.4522;
47427;1;340;340;-9.9946;0.6062;0;0;0;
47427;55;426;510;5.7553;55.5092;6.25;2.9906;117.337;
51890;57;1320;1344;-17.28;72.9;6;0;0;
51890;1;1456.6;1456.6;-0.17;2.6779;0;4.4584;104.2248;
51808;54;1320;1332;8.7;47.1;6;0;0;
51808;54;1333.2;1410;8.7;47.1;6.25;0.2;0;
59940;1;3076;3076;11.456;1.6165;0;0;0;
59940;59;3164.6001;3274.8;16.2406;28.2809;6;1.9209;65.3262;
59940;52;3282;3330;16.4529;29.6286;6.25;5.0563;68.0704;
46793;51;240;258;-9.79;20.4;6;0;0;
46793;59;277.8;392.4;13.3361;27.7359;6;0.6093;24.4708;
46793;52;404;450;16.4698;29.6951;6.25;6.9977;29.0761;
61914;2;3356;3356;-1.8286;116.2933;0;0;0;
61914;59;3542.2;3600;8.4733;22.9362;6;65.0646;189.7104;
59770;2;2976;2976;-14.1299;115.5749;0;0;0;
59770;59;3044.6001;3339.6001;11.4615;59.0295;6;2.4218;98.973;
59770;55;3379.6001;3390;5.845;55.6696;6.25;32.4294;110.2092;
58814;57;2760;2791.2;-9.7801;72.9;6;0;0;
58814;2;2862.6001;2862.6001;-0.0841;114.8985;0;8.1543;78.414;
62551;54;3480;3493.2;1.2001;47.1;6;0;0;
51980;51;1680;1713.6;5.71;20.4;6;0;0;
51980;2;1800.8;1800.8;0.7287;114.8173;0;6.9003;133.7637;
48034;2;456;456;-11.0459;116.3409;0;0;0;
48034;59;567.2;633.6;15.6423;43.0028;6;7.2176;115.1494;
48034;54;647;690;16.6368;46.8483;6.25;14.5124;120.7343;
