AgentID;ActivityID;TimeIn;TimeOut;xLoc;yLoc;zLoc;TotalDelayTime;TotalDistance;
1941;55;420;432;5.8;55.4;6;0;0;
1941;1;514.2;514.2;0.5755;2.734;0;11.6263;100.9433;
15723;54;3480;3481.2;16.7001;47.1;6;0;0;
36075;1;2805;2805;-8.3244;0.4494;0;0;0;
36075;59;3167.2;3600;-5.4422;25.4393;6;679.3355;110.7755;
1132;1;30;30;-6.1648;0.8588;0;0;0;
1132;2;119.8;119.8;0.8849;114.805;0;4.4285;122.3373;
8535;2;741;741;9.8175;117.1979;0;0;0;
8535;59;833.4;1186.8;-15.7855;57.2485;6;27.5492;101.059;
8535;55;1203.6;1230;-9.7763;55.1191;6.25;37.3056;109.5249;
29554;2;2379;2379;-5.1946;116.3071;0;0;0;
29554;59;2527.3999;3232.8;0.8515;78.8987;6;23.9996;98.3704;
29554;58;3259.8;3270;1.0979;82.0847;6.25;40.2251;105.5431;
40078;2;3168;3168;6.5461;115.3285;0;0;0;
40078;59;3284;3600;1.232;44.6488;6;345.1972;134.3999;
4898;55;1140;1173.6;-17.2;55.4;6;0;0;
4898;2;1250.2;1250.2;-1.0486;114.8806;0;5.1457;87.2679;
2711;52;360;378;16.6801;29.6;6;0;0;
2711;12;556;556;-24.8561;73.6051;6;14.8674;117.1479;
6521;53;1200;1202.4;-17.21;37.9;6;0;0;
6521;2;1283.2;1283.2;-0.4788;114.7868;0;8.4347;105.4366;
14541;2;1230;1230;1.9024;116.9093;0;0;0;
14541;59;1322.4;1915.2;-7.1431;57.4372;6;7.3076;97.376;
14541;55;1932.8;1950;-9.6029;55.6465;6.25;18.8455;102.9417;
5990;54;1320;1330.8;16.7001;47.1;6;0;0;
5990;2;1473.6;1473.6;2.1847;114.8614;0;34.6288;123.9685;
5890;53;1200;1236;-17.21;37.9;6;0;0;
5890;59;1312.8;1915.2;-3.6115;58.391;6;27.6362;92.1476;
5890;55;1937.6;1950;-9.5301;55.1888;6.25;42.9705;99.9331;
5731;58;1020;1034.4;24.3101;82.1;6;0;0;
5731;2;1086;1086;0.6789;114.9005;0;10.1278;65.8923;
9634;58;2460;2468.3999;8.8102;82.1;6;0;0;
9634;1;2621;2621;0.5663;2.7638;0;55.7164;137.7013;
4166;57;600;613.2;-9.7801;72.9;6;0;0;
4166;2;669;669;-0.9296;114.7827;0;7.2069;81.0532;
8670;53;1920;1966.8;-1.7101;37.9;6;0;0;
8670;2;2109.3999;2109.3999;-3.0816;114.9021;0;18.8437;124.6518;
23184;2;1884;1884;4.1688;115.9545;0;0;0;
7914;58;1740;1759.2;24.3101;82.1;6;0;0;
7914;14;1866.6;1866.6;-14.1493;38.6487;6;8.0368;101.7089;
2153;2;255;255;12.3069;116.368;0;0;0;
2153;59;357.2;471.6;9.366;57.3237;6;2.7196;101.9137;
2153;55;482;510;5.9823;55.3892;6.25;6.8172;106.5508;
19786;1;1665;1665;4.1011;0.4777;0;0;0;
19786;59;1750.4;2094;16.9169;41.503;6;1.3426;88.8592;
19786;59;2148;2821.2;10.1838;44.1154;6;43.7483;106.1062;
19786;59;3177.2;3600;9.5294;26.2582;6;698.762;239.7907;
3578;51;960;1008;5.71;20.4;6;0;0;
3578;59;1013;1137.6;6.5411;26.0867;6;0.4219;6.1183;
3578;59;1319.2;1370.4;11.9919;44.4021;6;99.7212;122.6546;
3578;54;1387.2;1410;16.8203;47.2932;6.25;107.9778;130.5211;
12421;58;3180;3210;1.3103;82.1;6;0;0;
12421;59;3391.2;3600;3.7588;62.9561;6;237.284;131.213;
6095;53;1200;1213.2;-9.71;37.9;6;0;0;
6095;1;1313.6;1313.6;-0.265;2.6947;0;3.9517;84.291;
6820;54;1320;1360.8;8.7;47.1;6;0;0;
6820;59;1469.2;1915.2;-5.8631;59.6941;6;29.1198;119.5956;
6820;55;1935.2;1950;-9.4551;55.5056;6.25;42.0924;126.7563;
39868;2;3132;3132;-12.5784;116.7288;0;0;0;
39868;59;3302.3999;3600;5.5466;56.725;6;345.649;127.9905;
7874;55;1860;1869.6;-1.7;55.4;6;0;0;
7874;13;1869.8;1869.8;-1.6739;55.7245;6;0.213;0.3263;
28378;2;2256;2256;-5.8279;116.0158;0;0;0;
28378;59;2325.6001;3232.8;-3.7269;76.8045;6;14.4086;88.9863;
28378;59;3499.2;3600;16.6573;61.9076;6;302.1436;221.8256;
6074;53;1200;1254;-17.21;37.9;6;0;0;
6074;59;1370.4;1792.8;-4.3066;77.5677;6;55.207;113.5247;
6074;59;1833.4;2515.2;2.8042;78.9788;6;87.5312;127.8586;
6074;59;2557.2;3232.8;-3.7873;78.7749;6;118.5912;146.3602;
6074;59;3299.6001;3600;3.1341;80.5626;6;473.1882;167.6935;
11646;54;2760;2798.3999;8.7;47.1;6;0;0;
11646;59;2968.2;3535.2;-11.097;74.794;6;62.0227;141.5111;
11646;59;3576.8;3600;-17.1675;77.8268;6;116.6122;157.9259;
34946;2;2730;2730;-3.3063;115.7745;0;0;0;
34946;1;2839.6001;2839.6001;-0.0323;2.6247;0;3.7972;115.5567;
8339;53;1920;1947.6;-1.7101;37.9;6;0;0;
8339;2;2079;2079;-1.1376;114.8285;0;16.6655;123.3993;
11306;56;2700;2739.6001;24.19;64.6;6;0;0;
11306;2;2821.6001;2821.6001;0.9685;114.872;0;10.8535;83.9777;
9555;56;1980;1984.8;1.19;64.6;6;0;0;
9555;9;1985.4;1985.4;0.9416;64.0643;6;0.3122;0.6113;
4082;56;540;568.8;24.19;64.6;6;0;0;
4082;59;802.2;1188;-11.5257;58.6194;6;11.6113;179.8739;
4082;57;1369;1410;-1.7936;72.6962;6.25;70.7061;287.3275;
14974;56;3420;3476.3999;16.69;64.6;6;0;0;
10524;52;2520;2553.6001;1.1801;29.6;6;0;0;
10524;2;2746.2;2746.2;0.8829;114.9478;0;57.8874;154.2711;
8902;53;1920;1938;-17.21;37.9;6;0;0;
8902;59;2075.2;2455.2;-10.8016;23.0298;6;37.6206;97.7461;
8902;51;2480.2;2490;-9.6754;20.2457;6.25;55.0517;105.2515;
12998;2;1137;1137;-0.7085;115.5041;0;0;0;
12998;59;1221.6;1734;-17.4385;21.6323;6;3.5494;121.3134;
12998;51;1738.2;1770;-17.2749;20.6856;6.25;5.256;122.6064;
30243;1;2433;2433;-12.8027;0.5801;0;0;0;
30243;59;2567.8;3361.2;6.6332;58.4914;6;12.1305;128.3653;
30243;55;3379;3390;5.7946;55.582;6.25;23.816;133.8788;
3335;56;540;541.2;1.19;64.6;6;0;0;
3335;2;634.8;634.8;0.859;114.9011;0;9.5365;106.353;
6037;53;1200;1212;5.7899;37.9;6;0;0;
6037;59;1219.8;1370.4;12.417;42.1414;6;2.7268;8.7119;
6037;54;1399.2;1410;16.5942;46.8596;6.25;21.9685;18.5558;
12329;57;2760;2766;-1.7801;72.9;6;0;0;
12329;2;2834.8;2834.8;-0.8689;114.833;0;14.6985;91.923;
12552;51;3120;3135.6001;-9.79;20.4;6;0;0;
12552;2;3320.2;3320.2;-0.9442;114.8923;0;81.7883;149.6823;
12440;51;3120;3138;5.71;20.4;6;0;0;
12440;59;3212.3999;3600;12.514;45.4212;6;396.7379;110.426;
35685;2;2763;2763;-10.0446;115.9263;0;0;0;
35685;59;2997.3999;3535.2;18.017;46.6504;6;154.1811;122.9796;
35685;54;3537.6001;3570;16.7909;47.0381;6.25;154.5099;124.2774;
23354;1;1911;1911;4.2749;0.5849;0;0;0;
23354;59;2647.2;3476.3999;14.3142;60.7812;6;522.8249;326.3963;
23354;56;3502.8;3510;16.6596;64.3256;6.25;539.8767;336.2749;
8507;2;730;730;-7.9757;116.4021;0;0;0;
8507;1;821.8;821.8;-0.8341;2.7539;0;2.5948;123.213;
9265;1;837;837;10.7394;1.861;0;0;0;
9265;52;1159.4;1170;24.3046;29.7766;6.25;200.0784;118.9693;
11557;51;3120;3163.2;5.71;20.4;6;0;0;
11557;2;3270.6001;3270.6001;-0.354;114.8721;0;18.8144;133.8257;
12210;56;2700;2748;24.19;64.6;6;0;0;
12210;2;2865.3999;2865.3999;0.4945;114.9662;0;13.9485;80.5846;
9594;55;2580;2617.2;-17.2;55.4;6;0;0;
9594;2;2684.8;2684.8;-1.0049;114.6912;0;4.1847;88.4996;
